Date,Comp845,Comp793,Comp581,Comp135,Comp477,Comp298
2008-10-03,42.757389,33.371624,,44.14513,67,45.798595
2008-10-06,41.138943,31.990213,,42.792625,65.230003,44.240269
2008-10-07,41.138943,28.587627,,40.531048,58.52,42.286877
2008-10-08,39.940895,28.573076,,40.316704,61.02,41.745487
2008-10-09,37.050797,26.668211,,37.981216,56,39.799408
2008-10-10,35.989361,30.274374,,37.656025,56.25,39.43362
2008-10-13,39.016045,30.528835,,40.279762,62.02,43.545242
2008-10-14,39.609818,29.598211,,40.235409,55.860001,42.73315
2008-10-15,36.777554,27.984167,,36.990852,48.720001,39.221443
2008-10-16,36.273113,29.438267,,40.368446,50.290001,42.279552
2008-10-17,36.351925,28.594894,,39.740227,50.650002,42.418556
2008-10-20,37.965111,29.561861,,40.228016,52.970001,42.491722
2008-10-21,36.168015,28.892981,,39.666313,50.23,40.86755
2008-10-22,34.186996,27.024452,,38.631607,49.990002,39.177547
2008-10-23,33.7351,27.518854,,38.993755,50.32,38.197193
2008-10-24,28.906031,25.759392,,37.988613,48.959999,37.260735
2008-10-27,27.324371,24.719717,,36.709991,49.580002,37.970394
2008-10-28,29.899178,27.337093,,40.774937,56.040001,42.052757
2008-10-29,30.703144,25.962971,,40.664082,56.889999,41.613804
2008-10-30,32.184967,27.351633,,40.464531,56.709999,41.679646
2008-10-31,31.002644,29.990826,,41.247948,57.240002,41.708908
2008-11-03,31.980024,29.612764,,41.366215,55.77,39.119019
2008-11-04,33.083515,30.659719,,41.484455,58.450001,40.30423
2008-11-05,31.55965,28.514921,,40.006287,51.98,39.294598
2008-11-06,30.146143,27.816952,,39.533302,47.220001,39.148273
2008-11-07,31.186569,27.446152,,40.198452,49.209999,39.557972
2008-11-10,29.867651,26.471901,,40.782314,48.459999,38.77515
2008-11-11,28.123083,26.428288,,40.464531,46.299999,38.248413
2008-11-12,27.114183,25.13413,,38.890305,41.560001,35.797344
2008-11-13,28.338531,27.038994,,40.597561,44.93,36.670612
2008-11-14,27.63965,25.061434,,38.956799,41.75,35.268959
2008-11-17,27.487272,23.825445,,38.291649,39.689999,34.718575
2008-11-18,27.576591,23.367401,,38.964195,38.439999,34.314953
2008-11-19,25.448746,20.699121,,37.692986,35.84,33.221508
2008-11-20,24.475698,16.998436,,37.4417,35.029999,33.016048
2008-11-21,25.053116,16.518591,,39.112015,37.869999,34.278267
2008-11-24,27.079382,20.05205,,39.00116,42.5,36.289021
2008-11-25,28.047077,21.644287,,40.412781,42.189999,37.184315
2008-11-26,29.308826,22.26228,,41.898338,43.959999,37.756721
2008-11-28,29.068228,23.018412,,41.29969,42.700001,37.771397
2008-12-01,26.854839,18.990549,,39.17852,40.470001,35.158882
2008-12-02,27.49106,20.742744,,39.503723,41.189999,36.766018
2008-12-03,28.13262,21.993273,,40.191071,45.209999,37.734707
2008-12-04,27.207703,22.596729,,40.730591,47.32,38.710747
2008-12-05,28.496166,24.247124,,43.021751,48.259998,40.787529
2008-12-08,29.688404,26.530077,,42.541332,51.41,40.501343
2008-12-09,29.474569,24.69062,,41.247948,51.25,38.967587
2008-12-10,29.816732,24.370729,,40.834076,49.700001,39.400543
2008-12-11,29.458521,21.767889,,40.669285,48.25,38.204376
2008-12-12,29.29278,22.494934,,40.550533,51.25,39.187744
2008-12-15,29.201902,20.815454,,40.609901,48.849998,38.703396
2008-12-16,30.32464,23.520079,,41.003304,52.630001,38.916206
2008-12-17,27.811842,23.163822,,40.96619,53.18,39.584
2008-12-18,24.946178,21.964193,,41.129486,52.080002,39.738125
2008-12-19,24.352737,22.044167,,41.374432,51.560001,39.473934
2008-12-22,24.75906,21.680639,,41.560017,49.84,38.688717
2008-12-23,24.379465,21.164436,,41.040421,51.080002,37.771397
2008-12-24,24.448978,21.702454,,41.151764,51.439999,37.932854
2008-12-26,24.753716,21.666094,,41.084946,51.779999,37.771397
2008-12-29,24.914108,21.651564,,40.906811,49.400002,37.301739
2008-12-30,25.170734,22.545828,,40.86227,50.759998,37.521896
2008-12-31,26.020803,22.923901,,41.61198,51.279999,38.527279
2009-01-02,26.501974,23.071087,,42.443317,54.360001,39.151047
2009-01-05,26.46991,21.52565,,41.953415,54.060001,38.373158
2009-01-06,26.202585,21.989275,,41.582279,57.360001,37.756721
2009-01-07,25.667936,20.671986,,41.225979,56.200001,36.780701
2009-01-08,25.84972,20.031734,,38.138119,57.16,37.169647
2009-01-09,25.49151,19.111835,,38.286564,55.509998,36.061527
2009-01-12,24.967575,18.331764,,38.145535,51.919998,36.274334
2009-01-13,24.513126,19.391485,,38.687405,51.450001,35.914761
2009-01-14,22.556356,19.067677,,38.271729,48.490002,34.953403
2009-01-15,21.56193,17.912279,,38.115845,51.439999,35.569847
2009-01-16,21.358765,16.793688,,38.271729,51.59,35.812008
2009-01-20,18.086781,13.31279,,37.529457,48.439999,34.652523
2009-01-21,19.738815,16.65386,,36.475426,50.540001,35.151546
2009-01-22,19.674652,16.999741,,36.275005,49.939999,34.821316
2009-01-23,19.059826,17.868134,,35.889019,50.630001,34.469063
2009-01-26,19.685354,18.030035,,36.074593,49.630001,34.747929
2009-01-27,20.048904,18.442142,,36.21563,48.439999,35.151546
2009-01-28,22.139341,20.355539,,36.171089,50.360001,35.085491
2009-01-29,20.840162,18.714437,,35.525303,50,34.087467
2009-01-30,20.76532,18.773314,,34.976028,58.82,33.045383
2009-02-02,20.048904,18.545177,,34.567772,61.150002,33.243526
2009-02-03,20.391068,17.698872,,35.488197,63.59,33.845284
2009-02-04,20.802744,17.691513,,34.456432,61.060001,31.540997
2009-02-05,21.251839,18.059475,,36.044903,63.18,32.164772
2009-02-06,21.920139,20.333456,,36.839142,66.550003,33.177494
2009-02-09,22.027065,20.07589,,36.579342,66.709999,33.14814
2009-02-10,20.58889,18.118338,,35.421394,63.310001,32.267498
2009-02-11,20.391068,19.200144,,35.799946,64.349998,32.068649
2009-02-12,20.58889,19.273735,,35.725716,63.959999,32.64315
2009-02-13,20.353643,18.169853,,34.538086,63.259998,31.494143
2009-02-17,18.974285,15.932663,,35.807388,61.669998,31.022757
2009-02-18,19.327145,15.829629,,37.113785,62.349998,31.214273
2009-02-19,18.813894,15.159946,,37.447788,61.950001,31.391031
2009-02-20,18.428959,14.644798,,37.128616,63.860001,31.494143
2009-02-23,18.311335,14.357797,,36.282433,61.709999,30.323053
2009-02-24,18.819233,15.469035,,37.121189,65.599998,31.339464
2009-02-25,18.765772,15.991532,,36.527386,63.709999,30.934391
2009-02-26,19.605152,16.962944,,35.814796,62.34,30.602961
2009-02-27,18.605387,16.815763,,36.549656,64.790001,31.184805
2009-03-02,15.103507,15.572062,,35.658909,61.990002,30.080008
2009-03-03,14.943115,15.461668,,35.169025,61.700001,29.969524
2009-03-04,15.156966,14.203249,,35.992935,64.809998,30.057907
2009-03-05,14.232048,12.216264,,36.928204,64.769997,29.137238
2009-03-06,13.633258,11.723204,,36.304703,61.689999,28.710047
2009-03-09,12.970304,11.701122,,35.265514,60.490002,28.312332
2009-03-10,14.451245,14.350432,,36.126549,65.709999,29.564425
2009-03-11,12.612098,15.012759,,35.427116,68.540001,29.137238
2009-03-12,13.456824,17.073336,,36.531895,69.580002,30.094723
2009-03-13,13.889881,17.47809,,36.718506,68.629997,31.081684
2009-03-16,14.387094,16.992382,,36.427387,66.980003,31.022757
2009-03-17,15.130239,18.501022,,37.323147,71.349998,32.392719
2009-03-18,15.391482,19.950781,,37.651573,71.25,32.746246
2009-03-19,15.184667,18.361193,,37.285812,70.099998,33.232361
2009-03-20,14.27576,17.036539,,37.017082,69.959999,33.018764
2009-03-23,16.333038,21.238642,,38.427895,75.580002,35.014774
2009-03-24,15.565641,19.428282,,38.129311,72.809998,34.145668
2009-03-25,14.966965,21.017868,,38.577202,72.400002,34.477089
2009-03-26,15.701704,21.415262,,39.383366,73.690002,35.692398
2009-03-27,15.440463,20.164196,,39.241547,70.519997,34.911655
2009-03-30,14.509789,18.287603,,38.636894,71.440002,34.064648
2009-03-31,15.358828,19.560743,,38.890697,73.440002,34.116203
2009-04-01,16.060915,20.708776,,39.428158,73.5,34.138294
2009-04-02,18.031109,20.760384,,40.040249,76.339996,35.405132
2009-04-03,17.7481,21.586079,,40.159687,78.169998,36.023834
2009-04-06,18.227043,20.789881,,39.883511,77.989998,35.162086
2009-04-07,17.557608,20.089508,,39.107189,75.510002,34.167759
2009-04-08,17.470535,20.222206,,39.2714,76.980003,35.132629
2009-04-09,19.05975,24.14427,,37.815804,79.769997,34.543392
2009-04-13,18.858374,24.844635,,38.46521,78.940002,34.182503
2009-04-14,19.244791,22.632956,,38.159168,77.220001,33.40176
2009-04-15,19.848909,24.004198,,38.286072,74.709999,33.6301
2009-04-16,20.164579,24.50551,,37.905376,77.25,34.049908
2009-04-17,19.712852,24.520256,,37.472424,78.050003,33.711113
2009-04-20,18.205273,21.888351,,36.778217,77.57,32.657871
2009-04-21,18.646114,23.98208,,37.196232,78.739998,34.219326
2009-04-22,18.069206,23.517622,,36.546822,79.199997,34.668598
2009-04-23,18.662439,24.483397,,36.472164,80.610001,34.491833
2009-04-24,19.163155,24.608734,,35.733173,84.459999,35.478783
2009-04-27,18.504608,24.166384,,36.210903,83.120003,35.088425
2009-04-28,18.276028,24.173759,,36.181053,82.400002,34.668598
2009-04-29,18.646114,25.419672,,37.659031,79.790001,35.110523
2009-04-30,19.375412,24.328575,,37.621723,80.519997,35.795502
2009-05-01,19.538689,23.952595,,37.360451,78.959999,35.125248
2009-05-04,20.518345,26.385452,,37.950161,79.769997,35.139977
2009-05-05,21.068043,25.670341,,37.666512,81.900002,35.095787
2009-05-06,22.396015,27.43969,,36.957367,81.989998,34.521297
2009-05-07,22.330708,25.979973,,37.241028,79.279999,33.828953
2009-05-08,24.055992,28.707722,,37.427631,77.949997,34.322437
2009-05-11,23.457314,26.414934,,37.793407,78.610001,33.895252
2009-05-12,23.326696,26.068436,,37.994949,77.93,34.550766
2009-05-13,22.015038,25.102661,,37.546909,74.190002,33.752247
2009-05-14,22.374256,26.201132,,36.848946,75.110001,33.123768
2009-05-15,22.096678,25.736685,,36.136002,73.599998,33.086811
2009-05-18,23.304922,27.469173,,37.464355,75.949997,34.077564
2009-05-19,24.132191,26.400188,,37.044086,77.870003,34.905643
2009-05-20,23.972919,25.471281,,36.728882,77.970001,36.066467
2009-05-21,23.418219,25.729309,,36.856457,75.959999,35.718975
2009-05-22,23.324858,25.368071,,36.961529,75.639999,35.711578
2009-05-26,23.747742,26.938372,,37.524395,78.389999,36.332642
2009-05-27,23.846598,25.552382,,37.014061,77.099998,36.103432
2009-05-28,24.038828,27.019464,,37.186668,77.650002,35.467567
2009-05-29,24.966982,27.203772,,37.329273,77.989998,35.874222
2009-06-01,24.9615,26.621357,,37.967175,83.050003,36.746677
2009-06-02,24.604509,25.43442,,37.471855,84.93,36.561836
2009-06-03,23.890535,25.05106,,38.184818,85.68,35.837257
2009-06-04,24.011364,26.061069,,38.177326,85.519997,35.393635
2009-06-05,23.121645,25.471281,,38.327408,87.559998,35.223591
2009-06-08,23.198538,26.090551,,38.132294,86.360001,35.142242
2009-06-09,23.231487,25.994715,,37.982185,87.080002,34.8465
2009-06-10,23.994888,25.685078,,37.569424,86.589996,34.44725
2009-06-11,24.851652,25.758795,,37.014061,85.690002,34.210648
2009-06-12,24.873631,25.898874,,37.404301,84.080002,34.772556
2009-06-15,23.896029,25.065805,,36.368641,83.18,34.25502
2009-06-16,23.511578,24.697195,,36.21104,82.150002,33.974045
2009-06-17,23.786192,24.129526,,36.443691,82.650002,34.44725
2009-06-18,23.615936,25.191128,,36.533745,81.599998,34.188454
2009-06-19,23.841106,25.803045,,36.151005,82.959999,34.092346
2009-06-22,23.039267,24.232735,,36.466194,79.150002,33.530418
2009-06-23,23.154598,24.748798,,36.286083,77.68,33.323414
2009-06-24,23.220505,24.667702,,36.406166,79.269997,33.301228
2009-06-25,23.154598,25.169014,,36.886482,82.199997,34.21804
2009-06-26,23.319355,25.397556,,36.496208,83.879997,34.314171
2009-06-29,23.379772,25.508139,,36.593784,83.029999,34.158882
2009-06-30,22.940409,25.146898,,36.35363,83.660004,33.848354
2009-07-01,23.028278,24.932793,,36.301098,81.599998,33.855755
2009-07-02,22.64933,23.825323,,35.865818,79.32,33.005463
2009-07-06,22.770149,24.068964,,35.820778,78.099998,33.789215
2009-07-07,22.286846,24.22401,,35.903336,75.629997,32.931522
2009-07-08,21.896914,24.150175,,36.301098,77.360001,34.025795
2009-07-09,22.490059,24.822046,,36.08345,78.099998,33.641338
2009-07-10,22.248409,23.877008,,35.700703,77.629997,33.249466
2009-07-13,22.468086,25.626804,,35.89584,81.470001,33.249466
2009-07-14,22.901966,25.619419,,36.120975,81.949997,33.293823
2009-07-15,24.093746,26.771194,,36.436195,84.550003,34.676453
2009-07-16,24.296955,26.675207,,36.406166,86.110001,35.112679
2009-07-17,24.51663,27.236322,,36.391144,85.849998,35.105286
2009-07-20,25.389875,27.302773,,36.638821,88.230003,35.837257
2009-07-21,25.104284,27.273247,,36.668835,89.010002,35.770721
2009-07-22,25.12077,27.192026,,36.901493,88.790001,36.096027
2009-07-23,26.120319,28.166595,,36.593784,93.870003,35.933376
2009-07-24,26.158766,27.996782,,36.728882,86.489998,36.325241
2009-07-27,25.983017,28.151836,,36.751385,84.239998,35.992546
2009-07-28,25.878672,28.114914,,36.713863,84.980003,36.110828
